ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,immigrant.population,year
365,705,Kazakhstan,KZK,Russia,RUS,365705,,1960
369,2,United States of America,USA,Ukraine,UKR,3692,,1960
369,365,Russia,RUS,Ukraine,UKR,369365,,1960
369,370,Belarus,BLR,Ukraine,UKR,369370,,1960
560,551,Zambia,ZAM,South Africa,SAF,560551,,1960
560,572,Swaziland,SWA,South Africa,SAF,560572,,1960
630,652,Syria,SYR,Iran,IRN,630652,,1960
666,20,Canada,CAN,Israel,ISR,66620,,1960
666,255,Germany,GMY,Israel,ISR,666255,,1960
710,560,South Africa,SAF,China,CHN,710560,,1960
770,820,Malaysia,MAL,Pakistan,PAK,770820,,1960
850,820,Malaysia,MAL,Indonesia,INS,850820,,1960
471,325,Italy,ITA,Cameroon,CAO,471325,,1960
310,255,Germany,GMY,Hungary,HUN,310255,,1960
475,560,South Africa,SAF,Nigeria,NIG,475560,,1960
339,325,Italy,ITA,Albania,ALB,339325,,1960
316,255,Germany,GMY,Czech Republic,CZR,316255,,1960
317,255,Germany,GMY,Slovakia,SLO,317255,,1960
31,2,United States of America,USA,Bahamas,BHM,312,,1960
41,2,United States of America,USA,Haiti,HAI,412,,1960
41,42,Dominican Republic,DOM,Haiti,HAI,4142,,1960
70,2,United States of America,USA,Mexico,MEX,702,,1960
70,255,Germany,GMY,Mexico,MEX,70255,,1960
90,70,Mexico,MEX,Guatemala,GUA,9070,,1960
91,2,United States of America,USA,Honduras,HON,912,,1960
92,90,Guatemala,GUA,El Salvador,SAL,9290,,1960
93,2,United States of America,USA,Nicaragua,NIC,932,,1960
95,2,United States of America,USA,Panama,PAN,952,,1960
100,20,Canada,CAN,Colombia,COL,10020,,1960
100,101,Venezuela,VEN,Colombia,COL,100101,,1960
100,130,Ecuador,ECU,Colombia,COL,100130,,1960
100,135,Peru,PER,Colombia,COL,100135,,1960
100,140,Brazil,BRA,Colombia,COL,100140,,1960
100,155,Chile,CHL,Colombia,COL,100155,,1960
100,160,Argentina,ARG,Colombia,COL,100160,,1960
100,210,Netherlands,NTH,Colombia,COL,100210,,1960
100,255,Germany,GMY,Colombia,COL,100255,,1960
100,325,Italy,ITA,Colombia,COL,100325,,1960
101,20,Canada,CAN,Venezuela,VEN,10120,,1960
101,70,Mexico,MEX,Venezuela,VEN,10170,,1960
101,255,Germany,GMY,Venezuela,VEN,101255,,1960
130,2,United States of America,USA,Ecuador,ECU,1302,,1960
135,20,Canada,CAN,Peru,PER,13520,,1960
135,160,Argentina,ARG,Peru,PER,135160,,1960
135,255,Germany,GMY,Peru,PER,135255,,1960
140,2,United States of America,USA,Brazil,BRA,1402,,1960
140,255,Germany,GMY,Brazil,BRA,140255,,1960
155,20,Canada,CAN,Chile,CHL,15520,,1960
155,101,Venezuela,VEN,Chile,CHL,155101,,1960
155,160,Argentina,ARG,Chile,CHL,155160,,1960
155,211,Belgium,BEL,Chile,CHL,155211,,1960
155,255,Germany,GMY,Chile,CHL,155255,,1960
160,20,Canada,CAN,Argentina,ARG,16020,,1960
160,255,Germany,GMY,Argentina,ARG,160255,,1960
230,255,Germany,GMY,Spain,SPN,230255,,1960
290,20,Canada,CAN,Poland,POL,29020,,1960
290,211,Belgium,BEL,Poland,POL,290211,,1960
290,255,Germany,GMY,Poland,POL,290255,,1960
501,2,United States of America,USA,Kenya,KEN,5012,,1960
343,255,Germany,GMY,Macedonia,MAC,343255,,1960
344,325,Italy,ITA,Croatia,CRO,344325,,1960
