"","country","bilateral_migration","export_trade_share","migrant_ratio","same_language","touching","Total_pop_left_conflict_zone","individualPerCountry","population","gdp_millions","percent_Refugees_of_Conflict","v2xeg_eqdr","v2x_libdem","remittances","percent_IndividualPerCountry_of_total","total_recored_migrants","percent_IndividualPerCountry_of_recorded","gdp_per_cap","normalized_pop","normalized_refugee","normalized_gdp","normalized_qrdp","normalized_lib","normalized_migr_ratio","normalized_bilateral_migr","normalized_export_trade","normalized_remittances","normalized_touching","normalized_same_language","Afghanistan","Burundi","Central African Republic","Democratic Republic of the Congo","Nigeria","Somalia","South Sudan","Syria","Ukraine","Venezuela"
"48","Tanzania",233606,1.75,2.8,1,1,263736,126663,61193226,69238,0.480264355264355,0.634,0.387,30,0.480264355264355,263736,0.480264355264355,0.00113146510693847,0.269223139564438,1.49391660190828,0.990216850945321,0.537752781131134,1.24838622644004,-0.157178766699252,1.48906710297336,-0.592237188610163,0.990768149748696,0.5,0,0,1,0,0,0,0,0,0,0,0
"49","Tanzania",105174,6.61,0.9,1,1,1018762,79839,61193226,69238,0.078368647436791,0.634,0.387,0,0.0783686474367909,982154,0.0812896959132682,0.00113146510693847,1.55617511085757,-0.016487244812941,0.0102857560197947,1.09116740216399,1.98022046496161,-0.940287833661652,-0.13998445627121,0.0743833652558843,-0.330206279687471,0.67700320038633,0.809173593712687,0,0,0,1,0,0,0,0,0,0
"50","Turkey",3271533,5.54,7,0,1,5721883,3763565,84680273,795952,0.657749380754552,0.694,0.371,0,0.657749380754552,5673335,0.663377889724474,0.00939949733038768,0.824675056483899,1.75531033093123,1.57837914993195,0.877565543774564,1.51945112914026,-0.439301943485889,1.69091647308095,-0.245020942141716,-0.447213595499958,0.447213595499958,-1.78885438199983,0,0,0,0,0,0,0,1,0,0
"51","Uganda",40404,0.01,3.9,1,0,633429,56905,42729036,43243,0.089836429970841,0.295,0.238,0,0.0898364299708413,633429,0.0898364299708413,0.00101202844828982,-0.169661808264563,-0.580036474692657,-0.220426785028211,-0.439776265439714,0.585719819752331,1.63268421366777,-0.938581610811695,-0.744446766711949,-0.447213595499958,-0.730296743340222,1.09544511501033,0,0,0,0,0,1,0,0,0,0
"52","Uganda",903199,0.05,3.9,1,1,2351680,964960,42729036,43243,0.410327935773575,0.295,0.238,273,0.410327935773575,2351680,0.410327935773575,0.00101202844828982,-0.849332030390915,1.23633234407872,-0.745534173548735,-0.227899399167265,0.635526663199014,1.40693001062403,1.557724260607,-0.446356701543714,1.77770195068232,0,0.447213595499958,0,0,0,0,0,0,1,0,0,0
"53","Uganda",64092,3.47,3.9,1,0,263736,48555,42729036,43243,0.184104559104559,0.295,0.238,2,0.184104559104559,263736,0.184104559104559,0.00101202844828982,-0.281605438097915,-0.427518592839732,-0.0472539096174785,-0.632701105247386,0.242929211631575,0.611250759385982,-0.414740213374184,-0.209286826050208,-0.828347141593172,-1.5,0,0,1,0,0,0,0,0,0,0,0
"54","Uganda",298749,0.06,3.9,1,1,1018762,459073,42729036,43243,0.450618495782136,0.295,0.238,6,0.450618495782136,982154,0.467414478788459,0.00101202844828982,0.689843878005698,3.09861221515094,-0.205908485123981,-0.443180676648008,0.558849854222405,0.710949337646614,1.52405470995567,-0.360626494053082,0.0246422596781695,0.67700320038633,0.809173593712687,0,0,0,1,0,0,0,0,0,0
"55","Uzbekistan",433,0.24,3.5,0,1,2221828,13020,35300000,65503,0.00586003957102,0.2,0.09,0,0.0058600395710199,168750,0.0771555555555556,0.00185560906515581,-0.800458745801291,-0.792374605392816,-0.749766087803202,-0.465227023014575,-0.912057922397536,0.710811581297725,-0.577284545766529,-0.615609960586272,-0.577350269189626,0,0,1,0,0,0,0,0,0,0,0,0
"56","Yemen",278891,0.02,1.3,0,0,633429,68649,30491000,19471,0.108376787295814,0.168,0.137,0,0.108376787295814,633429,0.108376787295814,0.00063858187661933,-0.457746268051194,-0.482417239046311,-0.734140784135153,-1.09072714785048,-0.215875055518475,-0.350950812283727,0.0969511207617997,-0.616093875899544,-0.447213595499958,-0.730296743340222,-0.730296743340222,0,0,0,0,0,1,0,0,0,0
"57","Zambia",22670,5.68,1,0,1,1018762,66027,17351708,21699,0.064811015723005,0.53,0.201,0,0.064811015723005,982154,0.067226728191302,0.00125053971632072,-0.500848584145435,-0.129941612672946,-0.385084816387743,0.620452947307211,0.205892051555623,-0.885246594618043,-0.849218021402979,0.0126186066059089,-0.330206279687471,0.67700320038633,-1.13284303119776,0,0,0,1,0,0,0,0,0,0
"58","Zimbabwe",3204,0,2.8,0,0,1018762,11284,15092171,25791,0.011076188550417,0.432,0.151,0,0.0110761885504171,982154,0.0114890332880587,0.0017088992696942,-0.606865012425496,-0.579610919055819,-0.351052624244626,0.176895095615247,-0.271077952048137,0.105495708166917,-1.01655464240142,-0.36461131719179,-0.330206279687471,-1.35400640077266,-1.13284303119776,0,0,0,1,0,0,0,0,0,0
